QUEST_UNUSED_20150317_000001	{memo X}A ha, you're on your way to see Master Pardoner. I wish you luck.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.				
QUEST_UNUSED_20150317_000002	{memo X}Note the long way Hashipusho.	먼 길 조심하십쇼.				
QUEST_UNUSED_20150317_000003	{memo X}So. Korezo. Pardoner does not allow you to introductory. Sound fall that silver was Like this donation was bought {nl} indulgences leads to our salvation. {Nl} wealth also, that it be noted that it is a great blessing of goddess.	그래. 이거야. 파드너로 입문을 허락하지.{nl}면죄부를 산 은화 한 닢이 헌금함에 떨어지는 소리가 우릴 구원으로 이끌지.{nl}재물 또한 여신의 커다란 축복이라는 것을 명심하게.				
QUEST_UNUSED_20150317_000004	{memo X}Pardoner be viewed back to your master Te. {Nl} if had the fire pot looking for a very long time.	어서 파드너 마스터께 돌아가 보게.{nl}그 불항아리를 아주 오랫동안 찾고 계셨거든.				
QUEST_UNUSED_20150317_000005	Gatekeeper owl image	문지기 부엉이 조각상				
QUEST_UNUSED_20150317_000006	Or Tesla-like has created us by cutting the tree. {Nl} So, we owl, you always say want to return the favor. {Nl}	테슬라님은 나무를 깎아서 우릴 만드셨어요.{nl}그래서 우리 부엉이들은 항상 은혜를 갚고 싶어 한답니다.{nl}				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000007	So I what is. You may ask. Would you like Tesla electrolysis collected sculpture of marble from {nl} Cathedral?	그래서 말인데요. 부탁드릴 것이 있어요.{nl}대성당에서 대리석 조각을 모아서 테슬라님께 전해 주실 수 있을까요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000008	If marble of the cathedral, but it likes Tesla-like?	대성당의 대리석이라면 테슬라님께서 좋아하시겠지요?				문지기 부엉이 조각상
QUEST_UNUSED_20150317_000009	If it were a gift of owl image {nl} the babe, but evidence for my life. {Nl}	부엉이 조각상들의 선물인가?{nl}그 귀여운 녀석들은 내 삶에 대한 증거이지. {nl}				조각가 테슬라
QUEST_UNUSED_20150317_000010	Anyway .. What seemed happy visitor comes something today, I will Hey drawing.	어쨌든.. 오늘 어쩐지 반가운 손님이 오실 것 같더라니, 고맙네그려.				조각가 테슬라
QUEST_UNUSED_20150317_000011	When I saw the first time in your Klaipeda, it was thought to be whether the delicate arm sword Ya can shake. {Nl} But, now I became a hero in the hero that many people praise. {Nl}	자네를 클라페다에서 처음 봤을 땐 그 가녀린 팔로 검이나 휘두를 수 있을까 싶었었지.{nl}허나 지금은 많은 이들이 칭송하는 용사 중의 용사가 되었구나.{nl}				소드맨 마스터
QUEST_UNUSED_20150317_000012	However, I want to make sure your courage directly. banshee {nl} covers the evil aura the dark forest. You are not a proper challenge harder ones.	하지만 난 자네의 용기를 직접 확인하고 싶어.{nl}이 어두운 숲을 사악한 기운으로 뒤덮는 밴시.. 자네에겐 적당한 도전이 아닌가 싶군.				소드맨 마스터
QUEST_UNUSED_20150317_000013	Isolation. Just merely hunting. In {nl}, Itogetone waiting on the Klaipeda.	별거 아닐세. 그저 사냥일 뿐이지.{nl}그럼, 클라페다에서 기다리고 있겠네.				소드맨 마스터
QUEST_UNUSED_20150317_000014	Have been. Was waiting. {Nl} would be given a reward worthy of your container if this degree.	왔군. 기다리고 있었네.{nl}이 정도면 자네의 용기에 걸맞은 보상일 거야.				소드맨 마스터
QUEST_UNUSED_20150317_000015	Hehe, I'm really enthusiastic. {Nl} I remembered when you were still convergence wizard. Then also you were really enthusiastic. {Nl}	후후, 정말 열심이네. {nl}네가 아직 수습 위저드였을 때가 생각났어. 그때도 넌 참 열심이었지..{nl}				위저드 마스터
QUEST_UNUSED_20150317_000016	Now I want to know you grew how. If {nl} banshee et al defile the forest, do not you to the appropriate challenge?	지금의 네가 얼마나 성장했는지 알고 싶어.{nl}이 숲을 더럽히는 밴시들이라면 네게 적당한 도전이 아닐까?				위저드 마스터
QUEST_UNUSED_20150317_000017	Rather than test, it is considered to be a good thing. In {nl}, and later also met at the Klaipeda.	시험보다는 좋은 일을 한다고 생각하는 거야.{nl}그럼, 나중에 클라페다에서 또 만나.				위저드 마스터
QUEST_UNUSED_20150317_000018	Yes, brilliantly Hatchiu~otone. and {nl} is a what kind of figure is when the next meet, further anxious?	그래, 멋지게 해치웠네.{nl}다음에 만날 땐 어떤 모습일지 더욱 궁금해지는걸?				위저드 마스터
QUEST_UNUSED_20150317_000019	{memo X}Plate when you saw the first time, I wonder not die immediately parser too stand up. I thought. {Nl} now I think that it has become more famous than me. {Nl}	널 처음 보았을 땐 너무 어설퍼서 금방 죽지 않을까.. 싶었는데.{nl}지금은 나보다도 더 유명해진 것 같아.{nl}				아처 마스터
QUEST_UNUSED_20150317_000020	You will really try to the will bet described meets applied to its reputation. {Nl} it is to exterminate all the nasty banshee covering this forest. How is it?	네가 정말 그 명성에 걸맞는지 나와 내기를 해 볼까.{nl}이 숲을 뒤덮고 있는 역겨운 밴시들을 모두 처치하는 거지. 어때?				아처 마스터
QUEST_UNUSED_20150317_000021	What so I'm going important that actually bet. I met me is, it is not more important. In {nl}, waiting on the Klaipeda.	사실 내기가 뭐 그리 중요하겠어. 날 만난 게 더 중요하지.{nl}그럼, 클라페다에서 기다리겠어.				아처 마스터
QUEST_UNUSED_20150317_000022	Have been. You really've got to impress me. {Nl} Do you accept now expect a more grown-up appearance?	왔군. 넌 정말 날 감탄하게 하는구나.{nl}다음엔 더 성장한 모습을 기대해도 되겠지?				아처 마스터
QUEST_UNUSED_20150317_000023	I think it 's assume is filled with the grace of goddess than when you first came to the Klaipeda. {Nl} I want to know your faith is how deep. {Nl}	처음 클라페다에 왔을 때보다 더 여신의 은총이 충만해지신 것 같아요.{nl}당신의 신앙심이 얼마나 깊은지 알고 싶어요.{nl}				클레릭 마스터
QUEST_UNUSED_20150317_000024	Of course, it is not the same thing Let again in an abstract standard. {Nl} and I drive off the banshee that bring the evil aura in this forest in the name of the goddess.	물론 추상적인 기준으로 재보자는 건 아니에요.{nl}이 숲에 사악한 기운을 가져오는 밴시들을 여신의 이름으로 물리치는 거예요.				클레릭 마스터
